did	duration_xi	duration_sigma	duration_mu	gap_meanlog	gap_sdlog
did:plc:2hxzdn5lz7mqpelwxcziym2r	2.442364354171797	4.884728708343594	2.0	7.31049396387585	2.5252116136354
did:plc:2hydmee4p3evne3avg5enmpm	-0.313758440014815	272.464476736499	0.0	8.16493974551908	1.72049089415162
did:plc:2i24wpyolqidbm3jww7ijknj	0.443596448327866	212.062895017306	0.0	7.48409497045232	2.02460505474784
did:plc:2i3xrw3uzhwcc3gyxcq2huhp	0.431120738393425	134.325982311612	0.0	7.450682996314	2.0251041783593
did:plc:2i6nw3wc7vws4rb43kd7oxxy	1.8478843187666347	14.783074550133078	8.0	8.26249046593008	1.41591573248078
did:plc:2ikn3ak5dgihkfski47wzvwc	0.348537600874242	165.270828892133	0.0	7.21301031810304	2.07404816304849
did:plc:2ioreeuirkvnzsanuk3by3kk	-0.213974001996671	377.11414085571	0.0	6.81589469838177	2.27166468346483
did:plc:2ipscb7uwokwat7wzthtvz2h	0.4518128207813714	140.57968782747997	0.0	6.56382772317588	1.95765446091353
did:plc:2iqx5ho4l7vcrtquexgqrkza	-0.334938635470794	217.826853022613	0.0	7.55679957485801	1.67765335590857
did:plc:2iuc7x737aqvwmmvbopyq774	-0.237375386999928	360.579059028686	0.0	6.97958821274548	1.87262382236571
did:plc:2izbas4qb3puhcbk5kahuhj6	2.1127919679740086	2.1127919679740086	1.0	8.00725916006899	1.93628629715462
did:plc:2izstpzy4vo65r75xok4smk2	0.06152322987266509	492.15271724633254	0.0	7.40429083784551	2.42072032093872
did:plc:2j3mksekirmhng3j2tv4ucft	0.40491311564617	242.942315935054	0.0	6.86426766697906	2.25683295015727
did:plc:2j6vcdelrcxt7zo5ygzcc7ys	-0.496974152318801	282.213692375707	0.0	7.6164366837739	2.08399499950117
did:plc:2jbaiktfwmngvjcqeuwjkqio	-0.1284771071649	290.310521779684	0.0	6.66277713568409	1.70544156537978
did:plc:2jbskuctfoqbzy6547lwwfkk	0.34412651480329215	259.5454074907759	0.0	7.06939531564233	1.91669477046371
did:plc:2jcqipcd27yakldx5qr3636q	-0.606509058449659	492.71002212788	0.0	6.95517568491792	2.31471124910273
did:plc:2jgslrv7zmshjkuuvvmfiptz	-0.732290148498089	256.218097418488	0.0	7.4159526564426	1.69607023947329
did:plc:2jm5xfl3tbcmngji3dxl4ija	0.24791644799010393	302.01484455925106	0.0	6.53389359963829	1.89323997219911
did:plc:2jmyspnq5az5dpgnk2veqgwm	-0.398410243866955	191.230316519481	0.0	8.26893116446015	1.55003222279968
did:plc:2jrav4p4nqwqdp72kf5o2i74	2.7309039292947492	5.4618078585894985	2.0	7.69712421038883	1.42338730899335
did:plc:2jsolhrvcpzv63grjxuafwy6	2.687480547455405	2.687480547455405	1.0	8.17399766384796	1.6405948360263
did:plc:2juhvrsumi43ld4zo4k4zbku	-0.245881065519145	538.113817148229	0.0	7.92450609825164	1.48484077028779
did:plc:2jvhrglbws53sxdb22sejgou	-0.401836802043099	1244.93410588145	0.0	7.04029946725299	2.73136309820547
did:plc:2jx5qra6gw2z4gpbpljm4k4z	2.5882049033566648	2.5882049033566648	1.0	6.94138054772883	2.32991417935881
did:plc:2kbzfsjnt73szvctr6xsmy75	0.560856174302956	381.8697436877561	0.0	6.92891959939674	2.36924646649156
did:plc:2kdxeq5u4yf6xwp3m6o2dlq3	3.186809859736508	3.186809859736508	1.0	6.82910466301808	1.57906535164075
did:plc:2kkhhg5fe4j2fyszrxajlrjk	2.706526649613331	2.706526649613331	1.0	7.57339636868408	1.91962434891377
did:plc:2koh6n365lvj2k4jtnnpevxn	-0.135863223706982	293.879160377468	0.0	6.58162171402419	1.61842509931353
did:plc:2kskrzezhpicylhdofg75sgl	0.22056081353426052	281.54027541428246	0.0	5.91271390732572	1.98640799867687
did:plc:2ktk7f7mfzuc6zsqpc7vrnne	-0.170604913244963	281.505984107082	0.0	6.31024546984702	1.9012453694742
did:plc:2ky42gbvtxgstspotlidifwh	1.2580400515622434	1.2580400515622434	1.0	8.05037670803331	0.513312749622912
did:plc:2l7uxpqqirho5hjudeqa62fu	-0.237178031580183	643.064495932993	0.0	6.72273416808345	2.01373805405274
did:plc:2lj2ovbk2movzadm4ghpawp2	1.2036561308174965	4.814624523269986	4.0	7.22918642570469	1.34636590494381
did:plc:2lntny2pam3y7qjkqfr3z4qz	2.2467977248202287	2.2467977248202287	1.0	8.25142467717876	1.46453973876636
did:plc:2lnzohxdi7dw7z3e7747qjnm	0.3257624949985513	331.0529622728483	0.0	6.61138547081857	1.88024674391495
did:plc:2lrji4okkw7iackae577xnh5	0.14510674254010855	241.10997799515422	0.0	6.52595281434271	1.7792931556738
did:plc:2lv5zdhr6aqncw46v7zgxbio	-0.071863932726378	565.355466963884	0.0	6.55168387318742	2.22649956733002
did:plc:2lxhtfhtkpakvbdp6qyzkdrv	0.145354890798168	236.875860484646	0.0	6.365929705347	2.00657791649856
did:plc:2lzhtb5hqihvah362p43j7wh	-0.547703788957464	118.453458184204	0.0	8.30565441729437	1.56254752704529
did:plc:2m6w3loikkt2tpvk54jj43fk	-0.345485600260692	352.848308339843	0.0	7.31421773597297	2.10146306477039
did:plc:2maeifdzjsiawobymlym5mwb	2.0629259433433766	2.0629259433433766	1.0	7.35366391816918	1.88066124738133
did:plc:2mawqdtzrznxmorwd2mptpn4	0.0304289339165014	578.535037597612	0.0	6.49863275588834	2.09939563872759
did:plc:2mdnjmtxv7dztw2xu4do3psf	0.499298813526734	74.1832281756537	0.0	7.29890624772647	1.84303455843718
did:plc:2mfdnz6ywxj5op2fbnlohjdj	2.1057784398887733	2.1057784398887733	1.0	8.22601125481502	1.12054199179173
did:plc:2mh5ljppxyxx47osccp6pxqn	2.735161184156921	2.735161184156921	1.0	8.01903663539549	1.25361784221309
did:plc:2ms44uy6bwvyeeskeznuxgny	-0.42463214084704	327.425410502113	0.0	7.24710770384949	2.31143619394886
did:plc:2mvegtjtk2f7bx7o6mn7v23l	-0.28313239536334	833.215841257713	0.0	6.0596840515641	2.39668856259185
did:plc:2mwiuffwso27hrjk2foke4rw	0.138656700278007	175.345803069984	0.0	7.20426671480134	1.42524838474939
