did	duration_meanlog	duration_sdlog	gap_meanlog	gap_sdlog
did:plc:2nsf2k3tmafqsra6zycticpe	3.71285753931025	1.69743705270834	7.26886684032979	2.06067868129349
did:plc:2num335qkt4efjdgz3p5rg46	2.94347590027181	1.3563206825469	8.10851508965572	1.36867608836054
did:plc:2nyamksuqes3d62fcwnw26re	3.35629897705147	1.75067677477879	7.24601459037102	1.63083458190982
did:plc:2o2ibf6n4lo5he3iebkr7qa6	3.10008213946763	1.54239685088744	7.87646991495701	1.4890424532422
did:plc:2o3rr4k5jeib2nqvyt6owell	2.04639392853794	0.86871866020856	2.45008794900515	1.04735798744761
did:plc:2obxzzsqqkyb6edpceguf2uj	3.84347673942144	1.38562984022619	7.73216068755504	1.84260804542583
did:plc:2oqtcdn6r6cazu5ghdezh3fm	3.993223707878	1.26027962128087	8.04183260355571	1.69578224640679
did:plc:2oscoztkcbxbu2ke3xymhlho	3.98352881671887	1.4637448377301	6.97229326860618	1.90164279284862
did:plc:2osjri4buye5jhxwq2bwhhyr	4.07652118543801	1.25219221842526	7.36312571466198	1.85713190316137
did:plc:2oz5hg52fdsh4oolaq24a4r6	6.29802015385167	1.17078953332045	5.65400077853412	2.13241663743207
did:plc:2p3ve37qdu5ur3yyb2dw4eyh	4.24658536852052	1.40776184327923	7.84707864173567	1.65863858264591
did:plc:2p7nmxleeftldgo3bmdaexgd	4.43988791225269	1.32481123734535	6.82237466698436	1.63747027565914
did:plc:2paavgbqf5a5jrmv7ph2m3qq	4.57185882908385	1.59050595417719	6.77696713824094	1.78079402319993
did:plc:2pcln2ilny4kfedseyno2rnw	4.61777208407364	1.02879995492487	7.73581452567239	1.91923556601493
did:plc:2phxvksrhff46qi3whfcbhez	2.64727274738272	1.53397804686724	7.70281159890238	1.43045252065819
did:plc:2pjlmrekawiej5h67opegzqo	4.35245460427255	1.63606491444266	8.23716236298357	2.01761720423296
did:plc:2pkkivsvjs3aajn4pcjgdilw	4.09673898052987	1.4833473961835	7.2157698125261	1.83976851701334
did:plc:2ptu2gq5sotohzsknlcl7vlf	3.74834492039973	1.42533366610742	7.44260492758267	1.60505672796177
did:plc:2pu2tljl5jflupr33cfc5tso	5.15950221816541	1.4597291124571	5.84131487184105	1.69488204890345
did:plc:2puubtec3ryadwwqar2wnykz	3.46646847255783	1.49536890435306	7.71010116719545	1.86585648155146
did:plc:2pwmyfn4vd2mhwvc426hprh4	4.2571651722769	1.56130112757095	6.61982207851412	1.5837936861588
did:plc:2pxxhwp2j3dybqa3mvyv6mwt	3.5349813976187	1.61143138936129	7.21047892902138	1.99299195443949
did:plc:2q463himb7wrzflhayb6hhmk	4.61338046069352	1.7336440334534	6.84010365483303	1.92817221159978
did:plc:2q4hsert5ztl5i4enij4l7ez	4.60939833540566	1.35044157849679	7.2154368215609	2.29542510265215
did:plc:2q4wefeps6fcif4vk3hxyjrh	3.33094055557537	1.72473880372882	7.67529691707961	2.09163510452804
did:plc:2q6vpkormu5znvkara52j2ua	3.73046822572051	1.31686095229599	7.66429698111954	1.68155625150543
did:plc:2q7pjljhupi33gzyjub3ljph	3.41764098648075	0.446126903468354	6.61009811319158	0.545783353136398
did:plc:2q7qgbzki6hrvltjw5dx2k2t	3.42966256537363	1.60581216831752	8.63482785410834	1.33139765467232
did:plc:2qim23w74tu4vkbja6qgvnvs	4.22382425896637	1.47455331417982	7.89303618281672	1.49545052949544
did:plc:2qk53wybprlbhoflvrjrl5a2	4.88904286509842	0.909287685445472	7.35088455460971	1.6840102942342
did:plc:2qoia5axc5ukmbpiz6h722q2	3.16934766923476	2.03113425670315	7.90018210509253	1.66829190851909
did:plc:2qp3mjjik36rqjyibni3y6le	3.7390194050558	1.64836460683573	7.73352128421207	1.40594774400109
did:plc:2qvaarx5ns23iib2ogiulhzw	4.73106517624626	1.20587373120423	8.67354261200292	1.40043722352431
did:plc:2r3zrwtacpzag5fdlsonpdrz	3.14610685253741	1.31187454732448	8.59816456770299	1.27999972446058
did:plc:2r4rjkmuervrswy5vqloufbe	3.64326194177347	1.51981571545395	7.60888784166555	1.66920230876729
did:plc:2rgeawuldl5noqtbvo5qdknv	3.27160698661898	1.72161731655216	7.86100228758945	1.84794601948991
did:plc:2rgsjr4a3lh4hke5whlovbxr	3.43786406108313	1.67831111041529	8.03475903291597	1.7446261770903
did:plc:2rlmnb3ortyxx4x7rh2sphck	5.7749031386337	0.736571427397508	7.65967727227288	2.55705180952516
did:plc:2rndr2tv5j5vj45yg373jngv	2.74557289474588	1.52291203975676	8.46880356185084	1.08236131216734
did:plc:2roy4gbwniupgotopuhxe6qk	3.4365986634928	2.06918527321274	6.95272397534201	2.34017563759975
did:plc:2rudo3djpmmfq4kb7zqjw6vz	3.46236858926883	1.56598329916776	8.22191537831981	1.7990873417065
did:plc:2s4447qtlhaa2qofzfh42dxi	4.1936717641846	1.465256259543	8.63825906252555	1.64477074205665
did:plc:2sd75kuin3q7teiobjxmlyqw	3.81419684760158	1.55841960693406	7.11939608574381	1.4523524397352
did:plc:2semfkelqvj3dzbz7lx2bews	3.67171385473921	1.46452497492722	7.83200416505395	1.74989439234349
did:plc:2sgge3nuuni5lf3gurtfou5w	5.38090549289406	1.31437877148668	6.81080134329883	1.78110165776342
did:plc:2sh6zkj6hhrpx5ywfxqw7efx	5.22080771602778	1.71797187299505	6.86223440519571	1.91365926695749
did:plc:2sjcw33ledfaudhx6j6gkkdu	4.03920497605072	1.31009742795724	8.09282147054652	1.38621136411808
did:plc:2so4z6j3n2cdrnjfearjt3vb	4.56994864155451	1.2827739659061	7.41157050439746	1.86336120912232
did:plc:2sohfhk6hk7etxkftnyy5wuy	4.30938042482655	1.44154192714085	7.70840047657047	1.8602272776036
