did	duration_shape	duration_rate	gap_shape	gap_scale
did:plc:267wna2hspk7rd6nk5jk6irx	0.560133974960324	0.00247028059358714	0.634382100164622	4745.95934185566
did:plc:26avstlwzq7335qiujxf5fzz	0.593094532540849	0.00291935503471826	0.568107306202897	5908.58461677671
did:plc:26hsjkp7s7754po67thzfgpc	0.778235577749704	0.00685403834791538	0.706794736865433	6782.71977538777
did:plc:26jok65yv6vj6vymwhyomsrp	1.58320977971346	0.00636942261202365	0.552478532834507	6279.85631679192
did:plc:26lrlbsttai5p2qi37u4hcbg	0.838874194557596	0.00419631371061697	0.652932484806797	3443.65051496879
did:plc:26mixoopxy5jct4l4olxaf2p	0.425112509142461	0.00303580723453832	0.593418545832938	6005.09109111437
did:plc:26nwx2gslehon4hoiob6wogg	1.37709903896187	0.00216554361854757	0.642824198516916	8317.72519808766
did:plc:26oedycwqhvbh63s75qkruwg	11.1751188686458	0.0662512458945659	1.22625213608135	2236.69217271909
did:plc:26qhvw4iis3pxfkqfjkrwop4	0.595658773984039	0.00314285518303979	0.639096738294199	6300.52282451634
did:plc:26u3ci2flabxswryyjobnk2b	0.818340436928675	0.00221866718891844	0.682301439301106	5338.18582068493
did:plc:26vy67n4jodualpwalzrzbnr	0.503496015555627	0.00364473120370331	0.619372880923907	14222.067013425
did:plc:26wujbuynlxtgu4ul5qehbo2	2.23055880962963	0.0132378417486339	0.671335764928081	7738.09561128738
did:plc:272n6yukbp2gqtuvgnmewifv	0.600300295759692	0.00258714619691828	0.470190973729329	4107.53500841436
did:plc:272t5s2ozbeuwlg6zjhghyf6	0.600280825692017	0.00541468970900336	0.683484289026445	5433.09198622544
did:plc:275v37b5v4rucf2e65htmd7f	1.56611691025792	0.00339881783338994	0.480137027610435	5243.21411576887
did:plc:27du4oggpu6g5t5wkirxweic	0.774542857340851	0.0063533907715976	0.694852887225388	5443.35920548922
did:plc:27ea524snawsts7jlmwmp4js	0.579378831539088	0.00509125388898338	0.661991978805758	5320.00494167057
did:plc:27fhpaiehqecyrkoaulrlbag	0.738637782364778	0.00592145957824733	0.708322146470531	7114.32790861976
did:plc:27fqyvp73hv4rgshpoxsd24w	0.744379752601916	0.00409858614317582	0.638789706802768	7663.10998313528
did:plc:27gapkpxlfoiw6wopdqqxtvl	0.706656975080053	0.00329976001048915	0.600091045559764	3983.48817011924
did:plc:27kq6s2nuidqdxktcwldurie	0.586384110887703	0.00492590788950392	0.721461512105155	7106.73457223868
did:plc:27l4gq6mpldfxevrsi73u7wp	0.704767277463634	0.00579820014015733	0.792544130611989	12797.9973695504
did:plc:27lq3mh5ahezn4uf45ilqoel	0.72108919772659	0.00391525932971392	0.628407484378149	6343.04288130236
did:plc:27mgg5hardtvjkxmsge7eip6	0.603859769825717	0.00262326248054239	0.492488239913344	7952.45737236429
did:plc:27ozju3up6zcifsryfnegg3e	0.516585660410295	0.00397872432319901	0.656880670685474	8065.41499320863
did:plc:27tkfwczfcuvkpnuofbfemyd	0.723449149062868	0.00683800291001391	0.750730583453688	6867.69635064886
did:plc:27u3zqsyhszo5n6gfgzrznte	0.733126197625262	0.00289352595853493	0.644398373845487	4833.9275698269
did:plc:27ugapg47qeo4kdijpk4y4zl	0.486361716610664	0.00320296099616658	0.593303145442074	4186.53205267859
did:plc:27up2dgajgql4f3rzcfarvpn	0.734577284612022	0.0071155299025261	0.703410437259084	14232.1361482166
did:plc:27vfzrcjb6rthnixe7v54vbs	0.522600347073314	0.00321783366434386	0.795408525140145	10480.2297812233
did:plc:2a5gk6rij3cyimh6gqbasx4a	0.446997481825818	0.00450795957424655	0.686633777494517	9419.10504955336
did:plc:2a7ygipkrbh544aqhcav53oy	0.800103207215122	0.00364005516691993	0.618255337735012	4357.71300750969
did:plc:2acckcnsjamg35jpzevel5t3	1.41183469596448	0.00947143901661322	0.821442164204929	11704.2223277771
did:plc:2acsx77msqzq3f7yhv6dtvwh	0.661623327429973	0.00476903271452852	0.70166893427913	4602.31381155882
did:plc:2af475xpwrzib5yyxn7iwuzs	0.614333136106325	0.00269446574573991	0.767562327398315	16972.1859764282
did:plc:2ahhwhbgexkhy7ymtdj66ata	0.685882282481932	0.00442343028905275	0.734625157761676	9344.34941863039
did:plc:2apsnejneuuozz46tjknkw34	0.743775707185341	0.00251953185931218	0.541951495390485	6677.83225143538
did:plc:2aqreryf6yspngyrtekjbhwn	0.566826499498269	0.00311490462661654	0.580986188248434	5159.1799917604
did:plc:2aryfj47esahn2ijyyfwfsqu	0.667096363305002	0.00297708335566016	0.545336199581744	3519.60921046821
did:plc:2asj5ke4dvqriammgbokgetd	0.711408853214711	0.0048049557635374	0.555797010515919	7350.30363905404
did:plc:2axufkkviaujmaz4sqh7b5tc	0.741993075456111	0.00701051249557869	0.927792656196962	12685.7764055091
did:plc:2az4i6xlooejgh7tzrmgzti7	0.565284042733199	0.00382274136844349	0.565846260879972	4922.58103656093
did:plc:2b3owwl47hedxvciksw3eb6l	0.772093302876337	0.0035026471709168	0.666789498080684	4052.03339513878
did:plc:2b4hgoemhqgdws4y52yyltz4	0.535188552615223	0.00391036072728473	0.816088751472843	10056.9601632309
did:plc:2b4xnv5tgypbmrytnnv73epc	0.634007902545127	0.00336248007028046	0.622468545485837	5276.97547535959
did:plc:2bdba7n5kqabb2aat2b5hsd2	0.698361929946739	0.00594888705746353	0.758626740236703	11102.8952825048
did:plc:2beaosgj5hm5t34fnziur533	0.684689274035702	0.00368616442379126	0.612855603896214	8881.06608538111
did:plc:2beatsjjsdu4glv55ha4a2dp	0.461739374969486	0.00457458133315443	0.728570526469359	11728.5358070895
did:plc:2beaxwsq6nib6v6ecrs3ohel	0.636859025323235	0.00210137786872426	0.536857876933542	3389.96561070058
did:plc:2belhvnjagt6oqtgrbo5anft	0.684854629624892	0.00454518807201239	0.675715190423003	13094.8298063672
did:plc:2bfxyp323hvbwhct35zraksw	1.42572969512247	0.0024703199981491	0.540130444844604	10133.1103531159
