did	duration_shape	duration_rate	gap_xi	gap_sigma	gap_mu
did:plc:27avqzfjimmjvmka6pt53jmd	0.637998801060764	0.0021491644663582	0.7193576108604807	621.1512381653105	0.0
did:plc:27ib524fjdl6ceswi2jfz3q7	0.687057187326523	0.00396490550932004	0.7954528106175287	1044.557532501525	0.0
did:plc:27ivzcszryxp6mehutodmcxo	0.717128275417274	0.00430746541437171	0.49871402629147044	871.8088970775915	0.0
did:plc:27kud7tvqtew47qhjy7kzd72	2.65800495549786	0.214653893034447	0.6028270393760815	157.33785727715727	261.0
did:plc:27ozmnxxhineruksxgtzeqmz	0.703643710366893	0.00350304967107755	0.572591740020681	2844.68156716799	0.0
did:plc:27qqncsikslugmooz32oc7vv	0.603395604160292	0.00363623489280307	0.7373261809667091	950.0028813992739	0.0
did:plc:27yp22rhk55qunt7xmrqx3mb	0.482190437554645	0.00341669799181366	0.6119814567217622	2387.8350836579575	0.0
did:plc:2a7sb34rkke7wsqffehao22o	0.707892612128165	0.00673142006944244	0.6640079938178989	1704.884659547222	0.0
did:plc:2aafhctfow3phficmr6o3dyf	0.48508190126572	0.00441914899826549	0.669579749382762	2017.76734850961	0.0
did:plc:2aal64ko5gj4y2vqwm7o7ae4	0.546761539179956	0.00343108399648698	0.5451600407782855	741.298530296794	0.0
did:plc:2agah6f4mstjpeney5lujnj5	0.634731050176163	0.00488365543348113	0.8033329137507416	2043.3874169612254	0.0
did:plc:2ahvfuud2mbarwgkz4nsnhj3	0.7003816371913	0.00422809806446234	0.8955139384009095	1714.6376861742212	0.0
did:plc:2aiwpacs2mhv7f5mcsx3yvck	0.656645112403784	0.00359752982067443	0.7745554967379487	1260.6319783865567	0.0
did:plc:2akj54dje23azqsk3zfyfkl5	0.665014303496536	0.00337402047503152	0.8978743703564893	649.1817121608367	0.0
did:plc:2aoavbfyjwovue2a67lmtgv5	0.575350685220107	0.00301017123895851	1.8784530796004164	241.8499718256726	0.0
did:plc:2atpw7zrdrdptzqo7jw63rzv	0.47156849705625	0.00217914525376463	0.6762691490745368	612.268579772835	0.0
did:plc:2atvapcw3pc5jpbxvoywejsw	0.631208031792211	0.0025961890901035	0.8310886842973362	584.0400226625692	0.0
did:plc:2aumojfunftldnwhuafyfju7	2.05803034743742	0.00782676603849099	0.11733992523245107	10581.059670558305	0.0
did:plc:2ax4yuz5jiduc7yy2m76r74h	0.696981968758013	0.00340035256553116	0.5380140294938628	1388.592630297975	0.0
did:plc:2b3fjmlezc2wsu773bk7tyeb	0.705854995330617	0.0032890433005664	0.8136013300568318	675.974152248589	0.0
did:plc:2bbsjerxazgps7c6headlwn6	0.69482512545326	0.00320929822566184	0.421859365142956	1919.51098859692	0.0
did:plc:2bexj3sn47budsrkwndlcraj	0.506229138486467	0.00373289943989919	0.8213307382330359	1968.986239324871	0.0
did:plc:2bgrs5zrpvq4zkxjlij5e4dq	0.611025748663258	0.00587083514712888	0.43172922581190587	3022.9833815231477	0.0
did:plc:2biyayed44ycggkc4hsrlljt	0.658663918356921	0.00402521065798474	0.4580378871407297	1240.0451012426583	0.0
did:plc:2bppy3pghop6hi5qoga5klr5	0.78085444202657	0.00429555546531531	0.45640941275325636	2272.8189346348463	0.0
did:plc:2br6qaqpr2hvyys5vtnrefcz	0.651174081626799	0.0034355988557503	0.8394418855926213	1022.6868979378021	0.0
did:plc:2brz7rlukhy4khkmzfap5q2t	0.860657856751631	0.00360388773482197	0.8201293144655423	610.7335443580151	0.0
did:plc:2by3kd4qzdzqkrf22ptddyu7	0.487279335162122	0.0026356925788353	0.5692646840772438	564.528777038429	0.0
did:plc:2c6wev5ei4jzcy4imh5afa35	0.643100836325901	0.00224191900323168	0.7900202129726207	970.1252920941902	0.0
did:plc:2cfzdu5q2zwi2gmkjoz2okkz	0.62791706217116	0.00460329452989586	0.77852370576784	2573.7563832811684	0.0
did:plc:2cgvoarixmr367a7a4rqpr5k	0.567457933434815	0.00229120079391594	0.9089671146042007	621.8246655100291	0.0
did:plc:2cq5fmslmru2whaziodsb6oq	0.767631155122269	0.00282203558837498	0.734026193439453	1191.87948752939	0.0
did:plc:2cu32uera2seqspru2n6uejv	0.771418737810555	0.00418867010291882	1.706178401475376	438.11327335693886	0.0
did:plc:2cwnbpxohxph6x6he6o42hxe	0.538333683327213	0.00375792031722307	0.642118013688577	1089.4337663399706	0.0
did:plc:2cy5d5byplisur4y7ppkz5nh	0.645600735652893	0.0021575761080336	0.710459243058344	511.81148750330857	0.0
did:plc:2czxsg34p55v7cgo4ijfgrbm	0.671327831434338	0.00352143373206835	0.7392989095382813	1225.298667983829	0.0
did:plc:2dey5qlon56brdcnu3io7ve5	0.420381582474306	0.00304469854397154	0.9641891684014579	1135.1119737200008	0.0
did:plc:2dg46t5jp3sfkfctoczlwb25	0.851118591089188	0.00280633958607823	0.6942663958399485	1114.8459206159546	0.0
did:plc:2dgsrytizimut5q7qebxlz4n	0.653846689327518	0.00251558087935284	1.2509487378025914	1013.4046725004301	0.0
did:plc:2dgyjz6q6d346hxf4pfxhtfw	0.600639398568603	0.00341972955069909	0.6228038915614876	546.7279457301347	0.0
did:plc:2dhwdfeywujzqssnlbjts5mh	0.719106290032331	0.00530665485982907	0.714254622674987	3280.83160675127	0.0
did:plc:2dibkb2haagnxllnycgcd5ad	0.612341260722628	0.00353242812199764	0.649390941682126	1066.35651006432	0.0
did:plc:2dk55kuezgj34my2qvfzgmox	0.520864417790799	0.00343496227334726	0.8407541356181228	754.3492987019675	0.0
did:plc:2dmq7m5hx36g3tpnvoexagjf	0.718420677885493	0.00374874146548691	0.8793719591044883	1148.9365467678256	0.0
