did	duration_shape	duration_scale	gap_xi	gap_sigma	gap_mu
did:plc:2afef4tek2d2ewo55rgxprzw	0.824924713187978	205.881355563472	0.6409543303631504	589.4416961210535	0.0
did:plc:2agpwfa3htpcqavofxgmk7gi	0.717996139023671	178.860753516804	0.7241162306866681	790.1625122512389	0.0
did:plc:2ahzh34dquerdv3v5jwmsyvk	0.835121573349794	217.1755056236	-0.177084125381486	15375.2072685887	0.0
did:plc:2aib3npxz72mkc4nncx5n7ci	0.724051361777347	108.404089675637	0.661396930786782	2233.0611936245	0.0
did:plc:2aiipqemoobrrilfx4jbm6pb	0.776850798051983	377.161073332259	0.7903122208186053	1060.989682937619	0.0
did:plc:2ajfpdq7y6tfkxhvujdaevgr	0.664170514557414	144.107965134364	1.1096892823315387	825.7000931747378	0.0
did:plc:2alxfobogpsu5wlitr2ks2nl	0.731579204362462	135.316249113096	0.599408517245773	1467.65665897537	0.0
did:plc:2aob7qyzrucp62zuptg2lqqj	0.746504873214062	165.679853620344	1.3366355264926446	579.6473463017097	0.0
did:plc:2apohx2tdagf752komnr5bmi	0.650118755154773	169.789669829653	0.6842604451067319	845.0178641477521	0.0
did:plc:2aqfjumioebao6md6loq6w52	0.613845325139245	111.146237145755	0.8150577267603172	1044.8468288865029	0.0
did:plc:2arpgaheh5as3bujoevcd7jj	0.846409819825705	187.183687183846	0.6836395840332423	768.7822865644813	0.0
did:plc:2at4u3jduat6ba7hee2myqek	0.86541617821321	143.00122334079	0.7723624168718597	868.4335933850978	0.0
did:plc:2atu6ny6zrmpbgxa2sg27aoq	0.730879897966499	554.870332903551	0.9342615521911969	646.7955725009837	0.0
did:plc:2atwqgh3oap5dy47262owpg6	0.848091251066121	382.00282714468	1.3989362233574199	1115.7651922989196	0.0
did:plc:2aueh467rmwg53u5ighn7ctl	0.653203566143569	249.0094570791	-0.247907458461195	11952.9378495714	0.0
did:plc:2aujavw7gfhjbyva76bh5ayk	0.801874452384497	126.747254148886	0.6561290858493409	1263.3097408297353	0.0
did:plc:2awsxdlcff2e6krhn4ujc3lh	0.817579972684135	180.653903772416	-0.526244315474071	21656.0515429051	0.0
did:plc:2ay55f7aq74jeh7xgzrmktfu	0.689677537238884	516.430272265077	1.956264985336723	513.1132675148896	0.0
did:plc:2ayfgy43z6cp5glhfnpzjrte	0.603067746834362	65.4834318723073	0.9692652742588076	2009.6236609288276	0.0
did:plc:2b4ashc3n7sshcy4fl4oodjl	0.823387855965826	437.461385984084	0.921169696343034	1547.7304624091591	0.0
did:plc:2b75tcsan5g55hy5pxe3ejxu	0.703260168315394	256.840314167784	1.0837319597994794	507.6039394945727	0.0
did:plc:2baui5owufz6xyqqgvcetlw5	0.646171303108785	86.6633223980992	0.672083734861791	811.9337189319433	0.0
did:plc:2bejtev4cacydnvt5tt7pjys	0.837632556944912	112.822082935873	0.696052506704617	3195.07979278175	0.0
did:plc:2bfpokv53v2s4yxaevzt7ftm	0.627591790167423	82.0574816229763	0.8253272790908313	1214.423667305184	0.0
did:plc:2bgv5obhhjp2trhbgbokokn6	0.77880054130002	100.9230715831	0.715464461509258	2020.98660725183	0.0
did:plc:2bgvdfhvl5l7etlwrrsmdt3s	0.811449119613372	228.530181874005	1.0602390474723402	633.9774397335731	0.0
did:plc:2bqmi52igxhbggrav7eq2gnk	0.743166281296033	303.884444412565	0.7773340144894305	379.8750963848643	0.0
did:plc:2bseblmxe2j6twfp6niu6bcf	0.799777737958872	418.582626809645	1.2507727901054013	1068.260327798145	0.0
did:plc:2bwpuvajjzvulpy7opxnzuw6	0.872453708290683	574.10194211242	0.8229027273275192	388.6521043667145	0.0
did:plc:2c7bktdfend67js3edihfb35	0.775434622445952	644.339381180368	2.2774303359626913	358.9883236238501	0.0
did:plc:2ca7f4m5dsfiws3edvvi5vzi	0.74290629043147	209.988291946819	0.8040047511301639	1053.0428073498567	0.0
did:plc:2chpg3o4dlses2cg44otjnwd	0.87824822171424	241.161628089146	0.9524038824487081	974.0678166064023	0.0
did:plc:2cjps3e2xc6t4ijsulhmkmpp	0.796072724003211	171.895560852642	0.07698791694245935	10444.36646425355	0.0
did:plc:2ck355ujknhhfhtkbp6ywa2n	0.775610540271813	239.711716813624	0.8180786699070429	1975.269904373307	0.0
did:plc:2cp7agfkmpngav4z5m36izwu	0.899527073161976	554.594484968814	1.9318715680161145	561.1998888937151	0.0
did:plc:2crzbyuljzfbskpzcotqks5f	0.78220181573496	316.234782389425	1.1710229304733244	242.4134929934133	0.0
