did	duration_rate	gap_meanlog	gap_sdlog
did:plc:2dvxljaxqp2pq4ksokux7ppt	0.00525935856511851	7.37102857364377	1.56727814141266
did:plc:2dysd2xfshiuuvm3mq5veyka	0.00436095270047962	6.71175016012245	2.53375076218707
did:plc:2dzyut5lxna5ljiaasgeuffz	0.00598802395416543	7.47797512767352	1.90218656885041
did:plc:2e3mmca6c2rkyw7557hgsd6x	0.00616761398181721	7.19273194138417	2.01582413568936
did:plc:2e6psbpp5djxnfumsobbbpic	0.00200658499019949	6.67233973573431	1.96319405065712
did:plc:2eeaigdbxdxael2iyo7g7uqj	0.0061969993480573	7.32223432568956	1.842578548201
did:plc:2eeofosaanhex4r4at675te5	0.00909090910555363	7.55611141946026	1.99083734819226
did:plc:2eg7mz2jlqzljlvwhp2homgp	0.00224674671083301	6.84009918170948	1.99094652802716
did:plc:2ejepjhy4lhcewzz4betdfwo	0.002396405391969	7.56326386453647	2.17325161076018
did:plc:2eki22hstwhziog7mhwvrm3r	0.00264413996792805	7.30545468725017	1.77504286343103
did:plc:2ekk7mj7jdicij3ijvkdiew2	0.00501011658227084	7.90101825257712	1.86237959324388
did:plc:2emlj6i3r7vqjcjzna7ejluc	0.00548478414722615	8.03614998139195	1.71903526571479
did:plc:2enrykw6uzlomjrm6x6q3sr2	0.00323122114992116	6.8548462553567	1.90069859463042
did:plc:2eodevnop7csovfkkhpyn5ub	0.0129908473825432	7.38057203565491	1.75993648823961
did:plc:2epdrchz3cnpsm6lhj4qu2y7	0.00855561147810191	8.36399803925503	1.4081110444144
did:plc:2epgz6zpmhciiwhm5mpwfgtq	0.00799247767239647	8.87658037252957	1.27588214973607
did:plc:2epoy7kbha43w4ktd7oxuwys	0.00494233937471247	8.00700043576892	2.06300688827242
did:plc:2eqqdwttxt42pvw5eh7h53fg	0.00213209513890654	6.91024090325436	2.44530400053618
did:plc:2ersolbztx5xtpiblpclvqgk	0.00312383785855111	7.04123318115067	2.14777227983491
did:plc:2et64cn4oidgnrdow26vfets	0.00501980032420599	7.05432677713956	1.66200923687987
did:plc:2euv5mb2o67fxnotmn7ltu4b	0.0028580501748204	8.67543360650913	1.56227247651772
did:plc:2ewbognzppl2ee66kzoopoko	0.00813008130491544	8.16221396304534	1.8125859537599
did:plc:2f5yndm73o4mbdxn7tze5rp5	0.00386292834922564	7.63606282369234	1.86456263621138
did:plc:2f6dn4vm6mjzqwx3p33lmete	0.00830670926902049	7.61650047345007	1.77899194409831
did:plc:2f6yr2i6iu7mjz2x6ktiat5o	0.0051612903232309	8.02156616146572	1.89374150364023
did:plc:2f7cu7kzn4eehqlptnqbnpg2	0.00410201533823302	7.85122248160245	1.96892950949769
did:plc:2f7dcii6eiklaakxa3eivnyx	0.00701418778919306	7.77600041042181	1.91748377841748
did:plc:2fdrojyxhtqet66rzznw2mrc	0.00252083187456688	6.89158990310224	2.64566390070219
did:plc:2fe4l5nmt2bchj5k542uqyy7	0.0069364161862968	7.15804872408666	1.70654136798577
did:plc:2fe4sqk7gt2czyitrvzhso63	0.00331501352186723	7.51053067882453	2.178319101511
did:plc:2ffii2u2mfv5s4fe5wvqnhnd	0.00331869204500115	7.26459662611124	2.70123003222634
did:plc:2fhcqk6mvwjvdb4qyhldhesw	0.00481729526575374	7.57187110275819	1.74536540117184
did:plc:2fjn7yznvncjcg5m35sfxzwg	0.0118008024612422	7.71050260415061	1.69586288640125
did:plc:2fns4ggk7yf3zg3onqkk6ffr	0.00522344747596069	6.98287407176767	1.85909211106417
did:plc:2fow5bqseq33yqsjcdhn7nzt	0.00770613922907109	7.923043802619	1.96230973870359
did:plc:2fqmvm25khg2oltbj7eapvx7	0.00521881288040691	6.79142605677985	1.76298751880498
did:plc:2frn6hdtgvolaikf25wuxpfs	0.00509363295947843	7.13990816338576	2.28566882631896
did:plc:2fuby6k7m4qihzv6hhkeuwwg	0.0107825015491157	8.10771396786062	1.40477283336389
did:plc:2fucrzmhcns75sswzx5i2fel	0.00416558187996932	7.42601682247719	1.83383994473667
did:plc:2fuesp5qz5nj3a4uaag3oaij	0.00348106639540978	6.7827112301957	2.20302129252832
did:plc:2fufy64p75lj6e6f2hvcaqnl	0.00289735099353242	8.50771252299496	1.73350427552896
did:plc:2fyxr6nphaaabukyxkbzlqic	0.00338688667003637	7.8053181721755	2.18872986699536
did:plc:2g4jafav4ybl4jeofkjndgl2	0.00550886362084543	7.05926636826729	1.86796104813509
did:plc:2gagtq3rrvsir3puvtgijqn5	0.00457694210880579	8.35807912936451	1.68368675523131
did:plc:2gcpoifi4y7z2tdsbgwakkra	0.00300300300369499	7.41613291190598	2.39970582805353
did:plc:2gfn4grfi4z6pl6fkq5kt333	0.00226512497695422	6.30741868458562	2.29915126084485
did:plc:2gjwn4cavjxoqrmcu6luffup	0.00352620612319509	8.53097870203441	1.48283199455845
did:plc:2glhhluioiyw2aj27buqhcda	0.00429513729122357	7.52816913482711	1.74963795520434
did:plc:2goei5ofsanoqqfwibd5dqw7	0.0026616981636311	7.39951988990915	2.04303625462907
did:plc:2gohvo74llackouoh5manqyw	0.00798137679183338	6.93349142563018	1.44716020424416
did:plc:2grz2m5rey5njmnyz6swhcta	0.00355279227308616	8.10839264306471	2.21138373283496
did:plc:2guz2zwe7xjxztr6zd5uhhdp	0.00429162879958232	6.74901870132418	1.95307027875821
did:plc:2gvblivfkmatsj64725dg3ls	0.00926354794162802	7.77697686103623	1.8498841765999
