did	duration_meanlog	duration_sdlog	gap_shape	gap_scale
did:plc:2arnurf42dcfx2kztc4c4xgl	3.67653377382127	1.65737374174769	0.643203651969473	3801.75134803009
did:plc:2arrpd53jmuq5hgjy4l4kch3	3.56246595004897	1.37086638634847	0.684872111660589	8227.99102855893
did:plc:2au4ycdcrqparessvie4vbfr	3.3799063779546	1.40114475581954	0.813228983015172	13548.7390651879
did:plc:2aububx6kgm5ous2y2r3icis	4.54229798631325	1.24475360829446	0.637205388276202	6676.88565375934
did:plc:2axjepvgu7b7frpsjndaihj7	6.09959464575621	0.676010907012351	1.68232398955403	157.681856237959
did:plc:2bbbwkkacgwmo3uihy3jt3mj	3.44917393849272	1.62120150955601	0.686346676500917	8246.78890799304
did:plc:2bcenlegr6yqymgqb4zjksss	4.9312774426029	1.25583137916012	0.635297036671292	4360.88632094346
did:plc:2bdef75eu2byi3vwpfslpbsk	4.44727573784748	1.01305544359322	0.605136256917159	10443.3907047856
did:plc:2bftktqgzuodlm4zgiwys7pg	4.52100605723777	1.66348492558507	0.520621695351123	5918.69164309353
did:plc:2bhidmmmmgfqecmh6mooqpq6	4.51122867735006	1.37439937170396	0.689676140890561	7534.29887793532
did:plc:2bibqcxdnikxcf2avjeixhsw	3.04317298092631	1.7796012957657	0.727709070503102	9092.19197750272
did:plc:2biro6xoh3x6jomh6as4fnwd	5.04086908203472	0.960574386749636	0.611038070470395	5911.89384669313
did:plc:2bjrgqvwphltxb42q4n5bwy4	4.9526453358737	1.09404892939209	0.817260932873883	10535.5779884779
did:plc:2brjtom2twmko6sbbfxc75re	4.30561204600039	0.915949022177964	0.792792667852037	8110.62484611735
did:plc:2brx2df226usfg4uziw7zyma	4.74527915031888	1.1614736592698	0.587160387070631	3910.37955292205
did:plc:2bv5zjrw7sxxi5f2gwm2quq6	3.30247147033529	1.60376840576053	0.706321870839037	8958.13684191938
did:plc:2bxhigklfhszokezycwej5if	3.70210437181864	1.21133150901228	0.620911808893683	7574.87324854348
did:plc:2bzffxlbdw4ymk6pvauv7a4v	5.10021932132968	1.29965642807652	0.922470591938732	7588.33762321821
did:plc:2c2h6ten5kaqv4n3vbq4adnm	3.66838748950668	1.71377642618892	0.663837435303556	4588.85651563542
did:plc:2c34nvpitb325d7l6itmkzvx	3.5312215887671	1.55721843333021	0.840687122040385	11362.5972452965
did:plc:2ca2fnhpy7ogu7rjamrmuh6w	3.60061084270646	1.33602196712146	0.819705011095446	10459.6242144062
did:plc:2ch4bhgsdhcnvrforsyw2px6	3.84009718260465	1.37210406362339	0.841263842403297	12958.2698001136
did:plc:2cjfca4r2hkowjyzcczg6gyn	5.9233642220373	0.887168903602128	0.641640619561896	10087.7122292943
did:plc:2cnfhtoo5itroqyn6xh52pys	5.50452802279529	1.06371181365001	0.586255858698091	2904.01517538423
