did	duration_xi	duration_sigma	duration_mu	gap_xi	gap_sigma	gap_mu
did:plc:256ozbaemzhi2eoslclq6l3v	-1.2048412709606	1442.19500133984	0.0	-0.300545868482045	24286.3404658892	0.0
did:plc:256t7occnvixhagj6jchj6qp	3.0311769256747683	3.0311769256747683	1.0	0.833001521062422	1255.603859868249	0.0
did:plc:25bhka7cek7uxvshdcdtbish	2.1920264994597036	2.1920264994597036	1.0	0.476368857948895	1889.25266495429	0.0
did:plc:25eexdwklvrdl7ilfae3sf2j	-0.187429719051528	208.817620413076	0.0	-0.106323398006001	827.052288230724	0.0
did:plc:25ruvsgd5sh7vbdkqq56p5qk	0.317819501123007	162.937374479389	0.0	0.5851244076630571	683.3515663096367	0.0
did:plc:25wqxeiff2nhkc24q3cqavli	3.063023233103324	3.063023233103324	1.0	0.6324959264474649	1409.0696672076463	0.0
did:plc:25x43fa3rkpinmg37fy55cfw	0.209365729225728	1250.78159919901	0.0	1.0650245200250048	166.0736212711378	0.0
did:plc:265sxq4og3dhbgldiiq23xhp	2.616485370387996	2.616485370387996	1.0	0.4880253252816182	3176.2481528250305	0.0
did:plc:26c2ygc4iirjtiddci2rot7b	0.8820333148484574	0.8820333148484574	1.0	-0.531120465320486	15431.3772268036	0.0
did:plc:26g77o7mhvrewxcokkfba4iw	-0.551085234161799	238.479813128045	0.0	0.18629911269757848	7405.903545788847	0.0
did:plc:26qralqqmxxsta7k544ui3if	-0.31192692133211	262.851856666441	0.0	0.43515045100194333	1160.9159308959918	0.0
did:plc:26u5wdo6raad4mgtrafkrta7	1.547145876301774	1.547145876301774	1.0	0.46220488251723	4057.7622831452	0.0
did:plc:26whz2okgjxpx6io64jbmtcn	-0.659211219364151	309.74757176592	0.0	-0.133751314538045	18104.3862331408	0.0
did:plc:272mh2elc5xzmqtu5s447yhk	-0.808692039782648	274.238781046126	0.0	0.611768554927886	3466.62516552914	0.0
did:plc:276ajw2pvlxjqezogemg7plp	-0.218186961371709	479.375869388819	0.0	0.9930500620373561	929.2874169050523	0.0
did:plc:277odkpqm3vuge62zhhtxsq4	0.240911106266421	114.486437470741	0.0	0.5873845085966154	1342.9630101577657	0.0
did:plc:27h46fiwyg54gtnmy5cvinpe	2.8173507978563546	2.8173507978563546	1.0	0.7387449706683406	856.8224375544787	0.0
did:plc:27hsydcbrjsp6o7523cx4ppr	0.311716951061445	44.2908020209116	0.0	0.7936579134564382	3173.380641934812	0.0
did:plc:27kq6irtfhq6wg7falxzcflg	-0.493072005135154	457.477109926367	0.0	-0.194152440410908	21635.444760864	0.0
did:plc:27nxu3jpcyejhtzfqnikn725	2.177948417616467	2.177948417616467	1.0	0.10859058908556438	7042.489597701035	0.0
did:plc:27xjxedobgjcpvktsas625u5	-0.191037966501745	250.626916112261	0.0	0.8993727018882597	899.833256302427	0.0
did:plc:2abk4n2vrmaq7p7vc6ewqg4l	1.928341914112849	1.928341914112849	1.0	0.21464363714859397	3183.858316938024	0.0
did:plc:2afgkwefukqsvvvp4iwewlhx	0.18413435243769333	140.18236564117518	0.0	0.489807763423157	1632.67413312191	0.0
did:plc:2afrzbnrwagijuumywvm4suu	-0.333312737522706	560.983974786661	0.0	1.814902085387565	338.4617507017381	0.0
did:plc:2aglcvuhyfynqnareynuhpiv	0.2134247380322467	142.0736820657264	0.0	0.9351739318250186	752.2899976002348	0.0
did:plc:2amnkge5a6hplfwyesmxqkfl	-0.288627347971576	182.641911726983	0.0	0.8715700258354397	1010.4414746409667	0.0
did:plc:2ar4wic2hic6ohadnykjd77w	0.43882744360775894	75.72321382177815	0.0	0.45923314579257046	2394.269139945496	0.0
did:plc:2b54rvaccqtj6ueemzxyzipm	0.379059458459159	210.018531874499	0.0	0.719739312195548	1199.56316605159	0.0
did:plc:2b7ujfpv3lb5zozqnj6qbxtt	2.953217816011415	2.953217816011415	1.0	0.497686620710139	2967.47518978013	0.0
did:plc:2baphan6snddu7b43kuuwjdi	-0.276218915681115	202.888086011006	0.0	1.3248192925780184	943.1501012457737	0.0
did:plc:2bei6y2fekr6hn4qqmrrb73s	0.29866286343871523	253.5090114645284	0.0	0.6744498814349836	1244.1396785092238	0.0
did:plc:2bhqog7sscz4mqopkr33gej5	1.5018372515764369	1.5018372515764369	1.0	0.5066762380767125	1310.0161554011106	0.0
did:plc:2ccpiwo6m337emzufzc2himy	0.30158020352510145	128.31634238729123	0.0	0.5942464933586599	1638.840495576149	0.0
did:plc:2cte4wipyk47qjujtxrskqcx	-0.169519522727564	1024.71808604955	0.0	1.773819480446738	420.76439571153327	0.0
did:plc:2d6tcf6a4tn3wkg4nesg75cq	2.8787793772779904	2.8787793772779904	1.0	0.5245968910812719	2389.322409011174	0.0
did:plc:2dmkyajf2c6t46hnumjentei	-0.421336177419569	209.400917480387	0.0	0.859557479129601	656.5941874212446	0.0
did:plc:2dsilvmarmvcymvkxycjr36m	0.2762281418957247	102.35457530681025	0.0	0.5560412454982476	3900.1371948181754	0.0
did:plc:2e42ofowixkurvywhyfmffjy	-0.445434804852293	77.163666431763	0.0	0.4270318397486882	570.0875060644987	1335.0
did:plc:2e4al6icoyd6uu7vhbxjosff	0.15073148296793773	240.09198187747018	0.0	0.7901578831827412	715.7251490164248	0.0
did:plc:2eb7hpet65shhxhxrlrjn6zc	2.4609801993622455	2.4609801993622455	1.0	0.7980215536724019	1349.712130690363	0.0
did:plc:2ecrp7flsou5acgi6j5um5dl	0.326104138420192	31.2882623895721	0.0	0.346842613827734	5212.41203426995	0.0
did:plc:2eexdpaaaz2ai3ymyigtceoj	0.184694492079513	682.883474457299	0.0	0.9860324482109639	226.03652754162573	0.0
did:plc:2eggxzjikdgsfhdfejrgxij3	2.618308560494953	2.618308560494953	1.0	0.5057661054209684	2953.2603503816404	0.0
