did	duration_rate	gap_shape	gap_scale
did:plc:27prm64ncc2fcdqfmtlsl26i	0.00369713102668542	0.622607174788774	6100.10507639488
did:plc:27si5md3h3xxivuyrrsblwqs	0.0055667233652916	0.705093514683159	7024.76922424779
did:plc:27tar2nlnd647u6iv6lten2n	0.00644972148929986	0.812610847042079	11063.6464307832
did:plc:27tpjkejfrs55igbz4rxwaba	0.00420250195489587	0.596636174329359	5848.00647640004
did:plc:27twsbwljczqqletsribu27b	0.0059993143661305	0.582628574330235	5689.30849189117
did:plc:27u2k6rk34up336jdmvja3m4	0.0038847294816273	0.683320023306155	5526.19456206826
did:plc:27wrte57apsato6bpm462y5m	0.0104432582985172	0.657751335650132	6081.84008852997
did:plc:27xca7pwdffnel6vatwewpij	0.00357063155545702	0.626632032971388	10661.3634077064
did:plc:27ygv57h5fm4gqndqqbp5sca	0.00374894183128142	0.579997693869397	9423.22901167487
did:plc:27yp2fsob3jhp6gia4zmh235	0.00864431794564002	0.583174669105526	8480.30372077168
did:plc:27zsdl37lklveqmkughcbbpb	0.00678349350057028	0.904775596998868	13406.2655150016
did:plc:2a4cv5xmzzawobsgg4tkyam2	0.00634965429833189	0.756560869325972	9336.62840321714
did:plc:2a4n7b4ztjetoymzu6qnxfm2	0.00289535364692213	0.619631278038442	6075.0405852408
did:plc:2a553yqxban4bkdopqui4iuh	0.00814785373690413	0.746368393660527	8120.30221099128
did:plc:2a5dpe7wwmnddvnaovz4omli	0.00562776363402732	0.81520345788186	10171.9445904013
did:plc:2a5t5xuol6nctgkqx5m3th2a	0.00893655049459438	0.794758374628649	10324.1973687483
did:plc:2a6vs6qh5gfy2q4veigtny4f	0.00417032484660608	0.567515915459413	9472.57323086834
did:plc:2aal2wgpgsqq6vr4ar3ble24	0.00345372015043705	0.611701110001422	10576.505538395
did:plc:2acpzd4rruhuxzlahhdnli6l	0.00603995663622489	0.844981674084939	9488.35887604497
did:plc:2acswc2gzjuk6j6fd3twm5sl	0.00324675324675758	0.447253830386185	6617.86806953022
did:plc:2adfe5dla4nnbjvkl7mgsrk4	0.0110103627025245	0.713162755805385	12464.3258386047
did:plc:2adhwxrbdfrrchta2bjrtzbj	0.00866307656625298	0.659644284623722	8927.26592155702
did:plc:2adu2uyjgidrqxmbgp5q2o4e	0.00336221388862685	0.613836725872534	3198.46633170472
did:plc:2aeprd6wfqd73snsl55hxw62	0.0126664501463672	0.741648835995331	8748.95092492644
did:plc:2afvngdefwiqrkysalr4miih	0.00819519463987744	0.685681143546133	4801.95326817025
did:plc:2ag2krcorihx7eho4ysd3dv3	0.00544611819290442	0.787834697046684	9858.70313510473
did:plc:2ahtzlzrcwf5gd3t7xiimoyv	0.0078110808402334	0.610160250692626	9380.97047319451
did:plc:2aivvqlu4qc2stirbbv4dkcu	0.00510510510577741	0.671774449018285	5186.87176559164
did:plc:2aiy65cbksubs7dm7cadrho2	0.00325008552867456	0.669370137528959	10744.8617915441
did:plc:2ajlkr5yqobpjaaisbyquaq5	0.00513672760565571	0.771084274913731	13688.3037532774
did:plc:2ak3idew5qu2wrg7bceidnvd	0.00442593074824116	0.604736480202904	6514.94359650409
did:plc:2alfzuoz2cjjkzeysywculfu	0.00330428317707238	0.621406805030837	4141.49847289428
did:plc:2amva2vtun3cmamczgxn3ifq	0.00393700787431376	0.520060020309954	4455.36881807762
did:plc:2anyrijvpsfnkvg5gzjjvugg	0.00264941466440794	0.551253579633044	2029.79232772175
did:plc:2aohl7ncyma3kdzyuy7zzr5w	0.00938366389688256	0.92309442116717	10799.3514725508
did:plc:2ap6lgkrlihctkt2giau6qyq	0.00847008999833153	0.685410860492859	5433.97176590643
did:plc:2apbof7nqu55pua4vwwhgqgy	0.00732394366201682	0.566695935248428	8921.75066068691
did:plc:2apdn75mgn54nfo7zmkatyog	0.00244593202888947	0.808481997724592	13571.1952781939
did:plc:2apmi6oea5dqodidrc5axdnt	0.00339625970407001	0.622610145200946	5386.13351433945
did:plc:2aqbmgh2pfwkdzzlq2m3xi3e	0.00370525727249049	0.577000075574187	6068.58822843602
did:plc:2aqgeax455bp7poi3vrcjbn4	0.00440407376929143	0.733455409134425	13148.2020188269
did:plc:2aqhc3p74ot7yhuyjmytvn6o	0.00556375610361723	0.786338958415473	5869.06965507069
did:plc:2aqzplhjx5xoycba4wfixn2s	0.00268934438145236	0.558448540264421	9488.8366028445
did:plc:2ar3zeqdr7kq63ezpqbsff3g	0.00610599078536083	0.70400496272672	7766.03596181843
did:plc:2arcmb7m56dxz6ogpxrryb2s	0.00271849938852727	0.729663702634458	13318.7381680586
did:plc:2aryncoopo25ohssjokwd7tf	0.00592153960243702	0.590722031221964	3161.61786714619
did:plc:2atjmuqrdbnsyputvwwgm3gp	0.00269965014757274	0.638959054232002	3767.61746944883
did:plc:2avtihtrozq5rtiweqhxwtr7	0.00425946209102132	0.526905466667182	8072.15617704143
did:plc:2avuj72j2uakdwcthbjvuvdu	0.00665280665431089	0.736890456376537	9228.55376643943
did:plc:2awezpdyjsgube2e3r566a7h	0.00541418516569478	0.637453729307341	9237.84237574027
did:plc:2axjwmwgp37msuo7asv52njn	0.00220923118762093	0.536554984780032	5148.51842040726
