did	duration_shape	duration_rate	gap_meanlog	gap_sdlog
did:plc:2gfdveqog3f4u2nd6w2dxnlt	0.583171899354405	0.00493890453193889	7.63381365222429	1.89557093722621
did:plc:2gjhn2orspdpksiyrcoh77pe	0.571480476053315	0.00537970714096966	6.71267072120574	1.4894109967207
did:plc:2gkvqit4l43qfaenrm7wj24y	0.683500898047208	0.00665694156430317	7.35267744348683	1.76984359928906
did:plc:2glkhpn27vamy2avfxxfximl	0.581286968380515	0.0033808461379509	7.34397712897729	1.63086115278786
did:plc:2gplii3fvshw2gkhysl4p66m	0.44537060723118	0.00392292580765822	7.45569970502363	1.93221315064929
did:plc:2gqefpikx2dtbvs7zc44qeot	0.706748341561578	0.00442992358041128	8.12536785017283	1.67680840170837
did:plc:2gryv3zceech5wipcuqyjneo	0.757981501771518	0.00450542244419858	7.64099101581876	1.84275223363608
did:plc:2gsmh67rx5aajhck5d6mnro4	1.73842501661738	0.00771079264324291	7.49534338402746	2.03356118498133
did:plc:2gusuymdz7mt7shszpbkw53l	0.595666768438381	0.00366736164496636	6.78115045537091	1.88029029165747
did:plc:2gwodhh7hhacaxs3bcwhxvv5	0.692498540462528	0.00221133807423306	7.29908817648678	2.4322878340484
did:plc:2gytanj64th5deul4yx6ila4	0.82471897205373	0.00318141627907925	7.19424066980131	1.59878850803257
did:plc:2gz66x4mqtligiy7vshvmk27	0.751725557125916	0.00315893199285183	7.16940451376518	2.06180731205887
did:plc:2gzfmf7txrp7urucills3yau	0.769232208073495	0.00389364067896181	7.45917119835679	1.70705179343465
did:plc:2h2bt3lwuhg7xwdnfur64g4a	0.680382477971617	0.00451455936269571	7.8466251090782	1.70614924262469
did:plc:2h2flw6ih5y5exr7te7ifgqw	0.70168513888542	0.00365604935476149	6.51891455069162	1.85466557061581
did:plc:2h4iaageok52mqxknx7p4wds	0.693242323443983	0.00332009447709052	7.11323950569433	1.88215282206691
did:plc:2haqh5p2pad7yykcv7ijgp3i	1.3102123001111	0.00775096513884394	7.70557637456329	1.70674621988211
did:plc:2hf6alyvppqt4makgxkpnnje	0.592237565756323	0.00318880756031384	6.91088252668549	1.91999561282882
did:plc:2hgz42tox2c5ooukm44sajjt	0.621493221855138	0.00365150777414428	7.09281230319108	1.68305716133102
did:plc:2hj5ptw6stgkdnshgwkjlvi5	0.68897913236066	0.0036483832291101	7.34465049678025	1.67399578142471
did:plc:2hkmflggoupnha7tpxdtq5wf	0.754791858629467	0.0030473694330536	6.50703993692891	2.34784315732919
did:plc:2hmpmpymg2hwzdsbnqzpwl6g	0.569830164785208	0.00205265433561666	5.82040222712005	1.44391595020436
did:plc:2hmsplx5o6vlmgmoyo22ajbu	0.733132331090769	0.0020120211030296	6.49736557941246	1.85860296824866
did:plc:2hrbr26b62ujcxdmmv56zksx	0.560902335483066	0.0032713017533574	6.40172953606946	1.90407329101755
did:plc:2htkobsvehs3g7lnlowwxe2n	0.664511897697836	0.00265657020520102	6.95816492711339	1.86848243482746
did:plc:2hw5hotjd3wy5yihf444d67o	0.594742876946326	0.002762190360323	7.6180943467729	2.33660146053257
did:plc:2i42hcu22b2gv5uhihls46a3	0.679833085856228	0.00358065703114167	7.30368773729228	1.72761266749151
did:plc:2i44luee4lgeodtq5wjv5ilj	0.763951924771475	0.0038684173452383	7.46234187094929	2.06152286338223
did:plc:2i54cg6ihxnh5r7ezrmcjksj	0.511135186750717	0.00294420923497725	7.1207626576001	1.94176869516322
did:plc:2ibbwzjaab5zbu2n4damhbgp	0.730709512039731	0.00360949225286094	7.70330807141789	2.18510185848828
