did	duration_xi	duration_sigma	duration_mu	gap_shape	gap_scale
did:plc:27v3gqnkqq3rwuvegdrkdgqt	-0.317508845459467	284.901922280185	0.0	0.658311465811115	12479.0723179691
did:plc:27vhceudd4ci4fcdfvpuzh5b	-0.248289865151997	138.053473876756	0.0	0.799175081848215	10392.0617117069
did:plc:27vxrzun7zbkdkngxac7j6un	0.2341487790184852	230.53533863935138	0.0	0.536167307838623	3033.87045383428
did:plc:27w7ydu4wk5roxmhqhxw2zjh	-0.191405175969378	1155.36627807538	0.0	0.687944505757194	9255.81990944792
did:plc:27wwrg7nfv23olgv2cse5itd	0.563160592459372	141.722435651356	0.0	0.4631962134786	6897.15278591182
did:plc:2a3slrvcgydrhxgcj5mqiiar	0.128590989952156	534.222478504176	0.0	0.474247728012037	7584.88274532211
did:plc:2a4gpzibld7zluzvs7pgh7ry	-0.18324784776541	678.078296035455	0.0	0.53512881443515	7890.40414664357
did:plc:2a77j5n3esd76ebtydphezje	0.470606067432311	39.2986335039449	0.0	0.710334075355802	7186.4510983895
did:plc:2a7ldl4srdk7atcq4yl7ws5c	0.33798623786462806	77.82312066984956	0.0	0.664733157945202	6444.48870576719
did:plc:2a7teapvit6i36b5yz54ou3q	0.15965736282753132	192.6114550409084	0.0	0.760386953234184	4191.57160498526
did:plc:2aacunhy7jeixysoine6ytpm	0.45459833719152654	125.22768309544288	0.0	0.645784583890176	7529.46729844886
did:plc:2ab26wb3s4ek3nxdlmjwctn3	0.3091585824922053	66.50380660801913	0.0	0.64642742927465	9047.19289726004
did:plc:2abojg3ac7edxakbscswujtx	-0.407707831568122	294.968556805285	0.0	0.621593689709042	4882.16593479164
did:plc:2absiof4kufrixn7kshxmb5r	0.300883314561672	129.702011698298	0.0	0.660643552128605	8566.82401251209
did:plc:2ae25imdvspklbqwdekxuznb	-0.167008197981127	663.128284071453	0.0	0.404590093643077	3351.85880013237
did:plc:2agy4ofhjypvocqkdyuwo6ia	1.989916976606026	1.989916976606026	1.0	0.721611931079994	9934.09241092887
did:plc:2aicdlc7suc55swkiequx7uh	2.7832742059082576	2.7832742059082576	1.0	0.865782895454872	9272.24222597974
did:plc:2an3hltt5tqvlvkutlqtaq7n	-0.432189812136838	539.082279614193	0.0	0.611409580920153	5662.03102788861
did:plc:2aooqo5sdmayuibpymfinovk	-0.308994276575989	1447.80457221266	0.0	0.645849832929002	9136.04422328894
did:plc:2arajpzcfh7x7bntghgn67ef	-0.351243084444693	613.864617234041	0.0	0.587542444989719	6962.57783342632
did:plc:2asdg36rcs3rbmpkqqfhopyr	0.25125606516879295	382.64782229340443	0.0	0.609415060555852	1748.17233332932
did:plc:2awsew56svs4bona4lj2tj67	1.0394200164925826	1.0394200164925826	1.0	0.571961096201587	1940.84801312131
did:plc:2ay5a5z6nyo4ekmfcusjv57w	-0.366478464522073	345.186251376747	0.0	0.748679964530662	13360.0228348597
did:plc:2b2wrnr6vnakldzgti25dsta	-0.125550637299608	865.550469850058	0.0	0.582095751397037	11484.2236174145
did:plc:2b3dqd4ua2w3sycdt3enopex	0.5908484177184935	53.55881191250245	0.0	0.606913901006756	4701.82947551676
did:plc:2b4x7btdxgsdacxbzetduryj	2.961482394702898	2.961482394702898	1.0	0.577026827269018	10582.8493345282
did:plc:2b7q3fxcdk5injegfkday4da	0.247615159579606	273.888268352698	0.0	0.696568306206664	3874.43987961132
did:plc:2bcajq3lo4x6pasq73a3wm4j	1.563848841338804	12.510790730710433	8.0	0.736281494321871	8999.29626213753
did:plc:2bfyp4a377sium3okz56bopc	-0.319210592921979	362.555689933775	0.0	0.910261639625457	10336.0861683624
did:plc:2bgxmhdpds6mddlvbtdcdd2k	-0.0790746505261916	770.412586758625	0.0	0.480641170964553	6877.81420877606
did:plc:2bi4zghhhprz4bf4bzwnog7a	0.204149560738634	266.662515249784	0.0	0.66026914934724	6598.5080844791
