did	xi	sigma	mu
did:plc:2a77j5n3esd76ebtydphezje	0.470606067432311	39.2986335039449	0.0
did:plc:2a7ldl4srdk7atcq4yl7ws5c	0.33798623786462806	77.82312066984956	0.0
did:plc:2a7teapvit6i36b5yz54ou3q	0.15965736282753132	192.6114550409084	0.0
did:plc:2aacunhy7jeixysoine6ytpm	0.45459833719152654	125.22768309544288	0.0
did:plc:2ab26wb3s4ek3nxdlmjwctn3	0.3091585824922053	66.50380660801913	0.0
did:plc:2abojg3ac7edxakbscswujtx	-0.407707831568122	294.968556805285	0.0
did:plc:2absiof4kufrixn7kshxmb5r	0.300883314561672	129.702011698298	0.0
did:plc:2ae25imdvspklbqwdekxuznb	-0.167008197981127	663.128284071453	0.0
did:plc:2agy4ofhjypvocqkdyuwo6ia	1.989916976606026	1.989916976606026	1.0
did:plc:2aicdlc7suc55swkiequx7uh	2.7832742059082576	2.7832742059082576	1.0
did:plc:2an3hltt5tqvlvkutlqtaq7n	-0.432189812136838	539.082279614193	0.0
did:plc:2aooqo5sdmayuibpymfinovk	-0.308994276575989	1447.80457221266	0.0
did:plc:2arajpzcfh7x7bntghgn67ef	-0.351243084444693	613.864617234041	0.0
did:plc:2asdg36rcs3rbmpkqqfhopyr	0.25125606516879295	382.64782229340443	0.0
did:plc:2awsew56svs4bona4lj2tj67	1.0394200164925826	1.0394200164925826	1.0
did:plc:2ay5a5z6nyo4ekmfcusjv57w	-0.366478464522073	345.186251376747	0.0
did:plc:2b2wrnr6vnakldzgti25dsta	-0.125550637299608	865.550469850058	0.0
did:plc:2b3dqd4ua2w3sycdt3enopex	0.5908484177184935	53.55881191250245	0.0
did:plc:2b4x7btdxgsdacxbzetduryj	2.961482394702898	2.961482394702898	1.0
did:plc:2b7q3fxcdk5injegfkday4da	0.247615159579606	273.888268352698	0.0
did:plc:2bcajq3lo4x6pasq73a3wm4j	1.563848841338804	12.510790730710433	8.0
did:plc:2bfyp4a377sium3okz56bopc	-0.319210592921979	362.555689933775	0.0
did:plc:2bgxmhdpds6mddlvbtdcdd2k	-0.0790746505261916	770.412586758625	0.0
did:plc:2bi4zghhhprz4bf4bzwnog7a	0.204149560738634	266.662515249784	0.0
did:plc:2bjba6bsmgh24z3nu6l6nqpm	0.27885231543625993	70.39301639431734	0.0
did:plc:2bkavuzhkssrn5lzs2kqvmpw	-0.457912036158414	289.546599440313	0.0
did:plc:2bmka7e24dfnr7alw5agr7s7	0.387248542806566	173.306446234149	0.0
did:plc:2bp72fxkqdtdjunptwhhrbqh	-0.435693873959568	277.011906532586	0.0
did:plc:2br4yeww4gmbbxdbtyyqlmom	0.163331005251059	429.587031077183	0.0
did:plc:2brkkordpfqtux2c5yklbczh	-0.353105203310107	472.142402332211	0.0
did:plc:2bwvcoajob7qcvo3gou5r6xy	-0.250404601051394	737.270924570668	0.0
did:plc:2by4zrofrv4qr4elhvc3swnz	-0.199552821714057	638.23422800289	0.0
did:plc:2bybi4n4wxtahiiovpfjiwrl	-0.809770670596323	429.680308939915	0.0
did:plc:2byzrpskkki6j3io7kuq6l4i	-0.235719272539745	279.02633738358	0.0
did:plc:2bzb24izhasrmdn7oaqjzmuh	0.326421701510133	143.31423376513	0.0
did:plc:2c23eyjoxg6xb3qqdxrhzq6g	0.20866511389046455	462.07744400275914	0.0
did:plc:2c2nbrkad2kywfgrvr75zlgg	1.964531215132891	1.964531215132891	1.0
did:plc:2c3d3gy3ql2vdczvbmvz4qsf	-0.356000692617417	750.131760562344	0.0
did:plc:2c3ywukztozaf76mdfgveuqg	1.8140425957000241	1.8140425957000241	1.0
did:plc:2c5j2aqhtie4kccl6knf7svg	-0.191816535824903	709.018612019498	0.0
did:plc:2c5wdg4wzylc6lx5pauxq7zx	0.455777808986129	123.557201763228	0.0
did:plc:2caktjm2tkszqsdardsp4hxf	-0.378297331962327	332.899261681304	0.0
did:plc:2cbhj7j7x5qu6vwmqmjwxy4b	-0.405619939147242	356.601546841482	0.0
did:plc:2cdmraugsdw72mhd6btlercg	-0.374354679855127	315.841335264221	0.0
did:plc:2cfs3vkxyk7wm2y2654w52al	1.362356696448912	1.362356696448912	1.0
did:plc:2cie4hkghksc5vlfhgkv42j7	-0.419137044239579	350.078260249304	0.0
did:plc:2cjc3kxes5sybky2y5xevgp2	0.364435734401004	131.574341041408	0.0
did:plc:2ckmsqgjz4zt3whhbqkqmu2j	-0.26947085941352	651.022284404941	0.0
did:plc:2cktqinjszqfhgauv7dtjxiu	0.210777192864886	576.256628222149	0.0
did:plc:2cl3lpsstdp3hcyvpixjvct5	2.181438235572144	8.725752942288576	4.0
did:plc:2cmwxjuvlbj4i7stewu4fhii	-0.447201234062346	460.707040537422	0.0
did:plc:2coo3lmh4bhdodzdwd4dcqfu	-0.213722976782846	620.488881734262	0.0
did:plc:2cq7biwiuzeyef5v4qr33uhr	-0.35069929860114	307.066091277744	0.0
did:plc:2cqzicruvniqx75wdxsykszb	0.2724191775167115	94.34394221761953	0.0
