did	rate
did:plc:2aqbmgh2pfwkdzzlq2m3xi3e	0.00370525727249049
did:plc:2aqgeax455bp7poi3vrcjbn4	0.00440407376929143
did:plc:2aqhc3p74ot7yhuyjmytvn6o	0.00556375610361723
did:plc:2aqzplhjx5xoycba4wfixn2s	0.00268934438145236
did:plc:2ar3zeqdr7kq63ezpqbsff3g	0.00610599078536083
did:plc:2arcmb7m56dxz6ogpxrryb2s	0.00271849938852727
did:plc:2aryncoopo25ohssjokwd7tf	0.00592153960243702
did:plc:2atjmuqrdbnsyputvwwgm3gp	0.00269965014757274
did:plc:2avtihtrozq5rtiweqhxwtr7	0.00425946209102132
did:plc:2avuj72j2uakdwcthbjvuvdu	0.00665280665431089
did:plc:2awezpdyjsgube2e3r566a7h	0.00541418516569478
did:plc:2axjwmwgp37msuo7asv52njn	0.00220923118762093
did:plc:2b2dxrr7q3hvaterl3qrbzwq	0.00240483974003293
did:plc:2b3cracgmmwzncbl2souqxsw	0.0027880278803138
did:plc:2b4bx7vrlc6d3xtkhzm5jcrc	0.00209739791579896
did:plc:2b54qckmqpvr7m4ffl6ubsdp	0.00315852802578742
did:plc:2b5khgg7mfbgi2cyvm7zohtf	0.00213596220998232
did:plc:2b5kzydk6cetz3bmohzf5h2g	0.00647517848281036
did:plc:2b6bopzxuqnj7cvxtqln2nii	0.00218644404698594
did:plc:2b6e5tgqlnvsrcux256o5yso	0.00306728012269638
did:plc:2b6qbvij23x2xebsgcdw6iva	0.00276134122306011
did:plc:2baffk34gtzoqhiqd6hbsii3	0.00568084007623023
did:plc:2bansiuzutkas33pwa6wegyb	0.00755840586860345
did:plc:2bbtbmj36zkdubvcfjcwjh7j	0.0045519885011938
did:plc:2beddjnyfepodqr2zcmwzcl3	0.00346736419534385
did:plc:2bf5uqvvfj6hydefmwcw67l2	0.00482998454802984
did:plc:2bg27sw4ylszohlkgqehki3s	0.00833333333714116
did:plc:2bg4co45g3xnxg4t2sndqwae	0.00394425453618904
did:plc:2bgh5gu6plwhwq76e7esbcng	0.00398444170411038
did:plc:2bgoldf63zj7azmgepameatn	0.00621931260266031
did:plc:2biabet3jquqcp6jpe7pxvdd	0.00843881856906686
did:plc:2bidtq7azcaczmam2h53xqw7	0.00367723582913363
did:plc:2bifca3otttk3ufyejj6k72p	0.00901442307992755
did:plc:2bji4jivnudmyo2gwjvzn6ni	0.00496056983029374
